rhoEr167
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.000      0.880E+01      0.874E+00
   2      0.120      0.161E+02      0.118E+01
   3      0.240      0.238E+02      0.175E+01
   4      0.360      0.374E+02      0.228E+01
   5      0.480      0.496E+02      0.275E+01
   6      0.600      0.643E+02      0.294E+01
   7      0.720      0.890E+02      0.439E+01
   8      0.840      0.118E+03      0.504E+01
   9      0.960      0.139E+03      0.604E+01
  10      1.080      0.159E+03      0.696E+01
  11      1.200      0.193E+03      0.711E+01
  12      1.320      0.204E+03      0.790E+01
  13      1.440      0.277E+03      0.104E+02
  14      1.560      0.328E+03      0.125E+02
  15      1.680      0.403E+03      0.151E+02
  16      1.800      0.584E+03      0.216E+02
  17      1.920      0.757E+03      0.263E+02
  18      2.040      0.104E+04      0.338E+02
  19      2.160      0.137E+04      0.421E+02
  20      2.280      0.173E+04      0.565E+02
  21      2.400      0.223E+04      0.656E+02
  22      2.520      0.288E+04      0.939E+02
  23      2.640      0.365E+04      0.120E+03
  24      2.760      0.475E+04      0.130E+03
  25      2.880      0.567E+04      0.161E+03
  26      3.000      0.690E+04      0.252E+03
  27      3.120      0.817E+04      0.350E+03
  28      3.240      0.106E+05      0.435E+03
  29      3.360      0.138E+05      0.569E+03
  30      3.480      0.159E+05      0.761E+03
  31      3.600      0.204E+05      0.115E+04
  32      3.720      0.236E+05      0.132E+04
  33      3.840      0.307E+05      0.171E+04
  34      3.960      0.384E+05      0.231E+04
  35      4.080      0.472E+05      0.338E+04
  36      4.200      0.521E+05      0.488E+04
  37      4.320      0.514E+05      0.581E+04
  38      4.440      0.761E+05      0.906E+04
  39      4.560      0.966E+05      0.147E+05
  40      4.680      0.119E+06      0.216E+05
  41      4.800      0.128E+06      0.336E+05
  42      4.920      0.162E+06      0.450E+05
  43      5.040      0.229E+06      0.695E+05
  44      5.160      0.291E+06      0.117E+06
  45      5.280      0.178E+06      0.127E+06
  46      5.400      0.234E+06      0.210E+06
