rhomo97he3
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1    .020800      0.304E+01      0.342E+00
   2    .260800      0.546E+01      0.470E+00
   3    .500800      0.930E+01      0.679E+00
   4    .740800      0.112E+02      0.915E+00
   5    .980800      0.131E+02      0.110E+01
   6   1.220800      0.195E+02      0.171E+01
   7   1.460800      0.332E+02      0.271E+01
   8   1.700800      0.655E+02      0.298E+01
   9   1.940800      0.897E+02      0.454E+01
  10   2.180800      0.115E+03      0.710E+01
  11   2.420800      0.158E+03      0.109E+02
  12   2.660800      0.215E+03      0.160E+02
  13   2.900800      0.315E+03      0.206E+02
  14   3.140800      0.407E+03      0.337E+02
  15   3.380800      0.599E+03      0.465E+02
  16   3.620800      0.859E+03      0.753E+02
  17   3.860800      0.128E+04      0.968E+02
  18   4.100800      0.179E+04      0.156E+03
  19   4.340800      0.161E+04      0.212E+03
  20   4.580800      0.263E+04      0.351E+03
  21   4.820800      0.288E+04      0.458E+03
  22   5.060800      0.481E+04      0.740E+03
  23   5.300800      0.716E+04      0.128E+04
  24   5.540800      0.947E+04      0.221E+04
  25   5.780800      0.103E+05      0.491E+04
