rho172yb4he
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.000      0.284E+01      0.274E+00
   2      0.100      0.292E+01      0.279E+00
   3      0.200      0.297E+01      0.283E+00
   4      0.300      0.334E+01      0.363E+00
   5      0.400      0.350E+01      0.429E+00
   6      0.500      0.415E+01      0.456E+00
   7      0.600      0.378E+01      0.584E+00
   8      0.700      0.481E+01      0.663E+00
   9      0.800      0.597E+01      0.737E+00
  10      0.900      0.913E+01      0.102E+01
  11      1.000      0.142E+02      0.129E+01
  12      1.100      0.205E+02      0.146E+01
  13      1.200      0.289E+02      0.203E+01
  14      1.300      0.374E+02      0.179E+01
  15      1.400      0.463E+02      0.247E+01
  16      1.500      0.619E+02      0.296E+01
  17      1.600      0.685E+02      0.403E+01
  18      1.700      0.789E+02      0.397E+01
  19      1.800      0.930E+02      0.564E+01
  20      1.900      0.107E+03      0.642E+01
  21      2.000      0.128E+03      0.815E+01
  22      2.100      0.151E+03      0.902E+01
  23      2.200      0.176E+03      0.115E+02
  24      2.300      0.218E+03      0.131E+02
  25      2.400      0.306E+03      0.153E+02
  26      2.500      0.388E+03      0.190E+02
  27      2.600      0.473E+03      0.251E+02
  28      2.700      0.596E+03      0.312E+02
  29      2.800      0.675E+03      0.353E+02
  30      2.900      0.805E+03      0.461E+02
  31      3.000      0.935E+03      0.585E+02
  32      3.100      0.107E+04      0.704E+02
  33      3.200      0.127E+04      0.842E+02
  34      3.300      0.149E+04      0.108E+03
  35      3.400      0.193E+04      0.127E+03
  36      3.500      0.219E+04      0.158E+03
  37      3.600      0.256E+04      0.169E+03
  38      3.700      0.319E+04      0.252E+03
  39      3.800      0.401E+04      0.289E+03
  40      3.900      0.463E+04      0.325E+03
  41      4.000      0.567E+04      0.438E+03
  42      4.100      0.617E+04      0.502E+03
  43      4.200      0.738E+04      0.722E+03
  44      4.300      0.876E+04      0.798E+03
  45      4.400      0.874E+04      0.896E+03
  46      4.500      0.124E+05      0.114E+04
  47      4.600      0.150E+05      0.147E+04
  48      4.700      0.189E+05      0.170E+04
  49      4.800      0.235E+05      0.244E+04
  50      4.900      0.267E+05      0.296E+04
  51      5.000      0.330E+05      0.356E+04
  52      5.100      0.395E+05      0.487E+04
  53      5.200      0.434E+05      0.553E+04
  54      5.300      0.466E+05      0.720E+04
  55      5.400      0.645E+05      0.110E+05
  56      5.500      0.723E+05      0.123E+05
  57      5.600      0.751E+05      0.142E+05
  58      5.700      0.112E+06      0.184E+05
  59      5.800      0.123E+06      0.251E+05
  60      5.900      0.134E+06      0.314E+05
  61      6.000      0.183E+06      0.416E+05
  62      6.100      0.170E+06      0.644E+05
  63      6.200      0.152E+06      0.785E+05
  64      6.300      0.189E+06      0.119E+06
  65      6.400      0.396E+06      0.176E+06
  66      6.500      0.417E+06      0.253E+06
  67      6.600      0.500E+06      0.428E+06
  68      6.700      0.285E+06      0.686E+06
  69      6.800      0.231E+07      0.137E+07
  70      6.900      0.219E+07      0.160E+07
  71      7.000      0.286E+08      0.247E+08
