rhomo98he3
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1    .154000      0.997E+00      0.121E+00
   2    .394000      0.152E+01      0.186E+00
   3    .634000      0.257E+01      0.267E+00
   4    .874000      0.518E+01      0.413E+00
   5   1.114000      0.780E+01      0.546E+00
   6   1.354000      0.856E+01      0.726E+00
   7   1.594000      0.116E+02      0.102E+01
   8   1.834000      0.180E+02      0.140E+01
   9   2.074000      0.265E+02      0.222E+01
  10   2.314000      0.373E+02      0.275E+01
  11   2.554000      0.554E+02      0.457E+01
  12   2.794000      0.107E+03      0.626E+01
  13   3.034000      0.135E+03      0.899E+01
  14   3.274000      0.175E+03      0.121E+02
  15   3.514000      0.230E+03      0.187E+02
  16   3.754000      0.352E+03      0.302E+02
  17   3.994000      0.517E+03      0.356E+02
  18   4.234000      0.589E+03      0.511E+02
  19   4.474000      0.717E+03      0.675E+02
  20   4.714000      0.109E+04      0.996E+02
  21   4.954000      0.120E+04      0.138E+03
  22   5.194000      0.225E+04      0.219E+03
  23   5.434000      0.210E+04      0.271E+03
  24   5.674000      0.408E+04      0.479E+03
  25   5.914000      0.396E+04      0.612E+03
  26   6.154000      0.706E+04      0.101E+04
  27   6.394000      0.952E+04      0.156E+04
  28   6.634000      0.128E+05      0.232E+04
  29   6.874000      0.119E+05      0.396E+04
  30   7.114000      0.120E+05      0.500E+04
  31   7.354000      0.123E+05      0.100E+05
  32   7.594000      0.169E+05      0.249E+05
