NLD (3he,3he)122sn
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.080      0.456E+00      0.318E-01
   2      0.200      0.496E+00      0.341E-01
   3      0.320      0.361E+00      0.297E-01
   4      0.440      0.301E+00      0.315E-01
   5      0.560      0.199E+00      0.450E-01
   6      0.680      0.204E+00      0.526E-01
   7      0.800      0.148E+00      0.845E-01
   8      0.920      0.186E+00      0.689E-01
   9      1.040      0.100E+01      0.605E-01
  10      1.160      0.303E+01      0.148E+00
  11      1.280      0.506E+01      0.235E+00
  12      1.400      0.410E+01      0.223E+00
  13      1.520      0.206E+01      0.144E+00
  14      1.640      0.102E+01      0.218E+00
  15      1.760      0.891E+00      0.423E+00
  16      1.880      0.101E+01      0.570E+00
  17      2.000      0.153E+01      0.666E+00
  18      2.120      0.669E+01      0.505E+00
  19      2.240      0.167E+02      0.105E+01
  20      2.360      0.263E+02      0.165E+01
  21      2.480      0.300E+02      0.188E+01
  22      2.600      0.349E+02      0.227E+01
  23      2.720      0.349E+02      0.249E+01
  24      2.840      0.430E+02      0.369E+01
  25      2.960      0.497E+02      0.376E+01
  26      3.080      0.492E+02      0.494E+01
  27      3.200      0.663E+02      0.685E+01
  28      3.320      0.802E+02      0.837E+01
  29      3.440      0.105E+03      0.952E+01
  30      3.560      0.125E+03      0.129E+02
  31      3.680      0.197E+03      0.176E+02
  32      3.800      0.237E+03      0.217E+02
  33      3.920      0.230E+03      0.221E+02
  34      4.040      0.317E+03      0.283E+02
  35      4.160      0.334E+03      0.280E+02
  36      4.280      0.500E+03      0.471E+02
  37      4.400      0.588E+03      0.605E+02
  38      4.520      0.669E+03      0.677E+02
  39      4.640      0.839E+03      0.863E+02
  40      4.760      0.101E+04      0.117E+03
  41      4.880      0.102E+04      0.119E+03
  42      5.000      0.124E+04      0.133E+03
  43      5.120      0.165E+04      0.168E+03
  44      5.240      0.206E+04      0.187E+03
  45      5.360      0.205E+04      0.260E+03
  46      5.480      0.223E+04      0.326E+03
  47      5.600      0.322E+04      0.469E+03
  48      5.720      0.319E+04      0.500E+03
  49      5.840      0.406E+04      0.643E+03
  50      5.960      0.452E+04      0.897E+03
  51      6.080      0.755E+04      0.108E+04
  52      6.200      0.720E+04      0.152E+04
  53      6.320      0.867E+04      0.203E+04
  54      6.440      0.103E+05      0.283E+04
  55      6.560      0.147E+05      0.354E+04
  56      6.680      0.114E+05      0.489E+04
  57      6.800      0.154E+05      0.585E+04
  58      6.920      0.117E+05      0.872E+04
  59      7.040      0.152E+05      0.100E+05
