ndl(3he,4he)sn116
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.030      0.117E+00      0.967E-02
   2      0.150      0.115E+00      0.998E-02
   3      0.270      0.104E+00      0.122E-01
   4      0.390      0.110E+00      0.135E-01
   5      0.510      0.114E+00      0.168E-01
   6      0.630      0.129E+00      0.223E-01
   7      0.750      0.115E+00      0.285E-01
   8      0.870      0.157E+00      0.319E-01
   9      0.990      0.310E+00      0.326E-01
  10      1.110      0.493E+00      0.459E-01
  11      1.230      0.995E+00      0.535E-01
  12      1.350      0.135E+01      0.693E-01
  13      1.470      0.161E+01      0.988E-01
  14      1.590      0.178E+01      0.123E+00
  15      1.710      0.203E+01      0.142E+00
  16      1.830      0.267E+01      0.179E+00
  17      1.950      0.307E+01      0.281E+00
  18      2.070      0.480E+01      0.350E+00
  19      2.190      0.762E+01      0.459E+00
  20      2.310      0.129E+02      0.493E+00
  21      2.430      0.189E+02      0.724E+00
  22      2.550      0.215E+02      0.908E+00
  23      2.670      0.255E+02      0.120E+01
  24      2.790      0.284E+02      0.164E+01
  25      2.910      0.320E+02      0.206E+01
  26      3.030      0.414E+02      0.230E+01
  27      3.150      0.408E+02      0.309E+01
  28      3.270      0.573E+02      0.399E+01
  29      3.390      0.723E+02      0.450E+01
  30      3.510      0.925E+02      0.515E+01
  31      3.630      0.106E+03      0.806E+01
  32      3.750      0.153E+03      0.820E+01
  33      3.870      0.199E+03      0.104E+02
  34      3.990      0.238E+03      0.147E+02
  35      4.110      0.314E+03      0.193E+02
  36      4.230      0.419E+03      0.234E+02
  37      4.350      0.505E+03      0.296E+02
  38      4.470      0.642E+03      0.338E+02
  39      4.590      0.724E+03      0.408E+02
  40      4.710      0.860E+03      0.573E+02
  41      4.830      0.111E+04      0.653E+02
  42      4.950      0.137E+04      0.717E+02
  43      5.070      0.152E+04      0.912E+02
  44      5.190      0.169E+04      0.112E+03
  45      5.310      0.192E+04      0.145E+03
  46      5.430      0.238E+04      0.162E+03
  47      5.550      0.272E+04      0.204E+03
  48      5.670      0.382E+04      0.265E+03
  49      5.790      0.429E+04      0.309E+03
  50      5.910      0.542E+04      0.400E+03
  51      6.030      0.624E+04      0.490E+03
  52      6.150      0.631E+04      0.585E+03
  53      6.270      0.880E+04      0.847E+03
  54      6.390      0.105E+05      0.120E+04
  55      6.510      0.124E+05      0.136E+04
  56      6.630      0.160E+05      0.165E+04
  57      6.750      0.170E+05      0.203E+04
  58      6.870      0.159E+05      0.246E+04
  59      6.990      0.262E+05      0.369E+04
  60      7.110      0.218E+05      0.434E+04
  61      7.230      0.306E+05      0.665E+04
  62      7.350      0.340E+05      0.849E+04
  63      7.470      0.354E+05      0.103E+05
  64      7.590      0.453E+05      0.176E+05
  65      7.710      0.746E+05      0.262E+05
  66      7.830      0.758E+05      0.392E+05
  67      7.950      0.745E+05      0.655E+05
