161dy4rho
  No     Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.080      0.254E+02      0.160E+01
   2      0.200      0.371E+02      0.194E+01
   3      0.320      0.418E+02      0.229E+01
   4      0.440      0.548E+02      0.282E+01
   5      0.560      0.689E+02      0.350E+01
   6      0.680      0.931E+02      0.417E+01
   7      0.800      0.122E+03      0.557E+01
   8      0.920      0.148E+03      0.678E+01
   9      1.040      0.184E+03      0.103E+02
  10      1.160      0.255E+03      0.118E+02
  11      1.280      0.297E+03      0.150E+02
  12      1.400      0.332E+03      0.173E+02
  13      1.520      0.460E+03      0.234E+02
  14      1.640      0.555E+03      0.337E+02
  15      1.760      0.697E+03      0.397E+02
  16      1.880      0.960E+03      0.506E+02
  17      2.000      0.124E+04      0.692E+02
  18      2.120      0.165E+04      0.956E+02
  19      2.240      0.199E+04      0.124E+03
  20      2.360      0.257E+04      0.168E+03
  21      2.480      0.340E+04      0.217E+03
  22      2.600      0.463E+04      0.287E+03
  23      2.720      0.558E+04      0.349E+03
  24      2.840      0.736E+04      0.434E+03
  25      2.960      0.848E+04      0.575E+03
  26      3.080      0.111E+05      0.712E+03
  27      3.200      0.121E+05      0.973E+03
  28      3.320      0.170E+05      0.121E+04
  29      3.440      0.196E+05      0.159E+04
  30      3.560      0.248E+05      0.189E+04
  31      3.680      0.288E+05      0.259E+04
  32      3.800      0.354E+05      0.413E+04
  33      3.920      0.510E+05      0.496E+04
  34      4.040      0.595E+05      0.716E+04
  35      4.160      0.682E+05      0.806E+04
  36      4.280      0.710E+05      0.128E+05
  37      4.400      0.101E+06      0.179E+05
  38      4.520      0.108E+06      0.240E+05
  39      4.640      0.145E+06      0.340E+05
  40      4.760      0.158E+06      0.471E+05
  41      4.880      0.253E+06      0.753E+05
  42      5.000      0.272E+06      0.109E+06
  43      5.120      0.269E+06      0.152E+06
  44      5.240      0.396E+06      0.231E+06
  45      5.360      0.464E+06      0.360E+06
  46      5.480      0.460E+06      0.619E+06 
