ndl(3he,3he)fe57
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.012      0.420E+01      0.173E+00
   2      0.250      0.559E+01      0.231E+00
   3      0.489      0.683E+01      0.292E+00
   4      0.727      0.811E+01      0.408E+00
   5      0.965      0.903E+01      0.536E+00
   6      1.204      0.928E+01      0.634E+00
   7      1.442      0.982E+01      0.770E+00
   8      1.680      0.108E+02      0.108E+01
   9      1.919      0.114E+02      0.124E+01
  10      2.157      0.167E+02      0.161E+01
  11      2.395      0.266E+02      0.251E+01
  12      2.634      0.378E+02      0.322E+01
  13      2.872      0.428E+02      0.441E+01
  14      3.110      0.500E+02      0.567E+01
  15      3.349      0.679E+02      0.726E+01
  16      3.587      0.715E+02      0.105E+02
  17      3.825      0.665E+02      0.130E+02
  18      4.064      0.676E+02      0.189E+02
  19      4.302      0.787E+02      0.223E+02
  20      4.540      0.114E+03      0.306E+02
  21      4.779      0.165E+03      0.444E+02
  22      5.017      0.166E+03      0.605E+02
  23      5.255      0.178E+03      0.755E+02
  24      5.494      0.374E+03      0.116E+03
  25      5.732      0.376E+03      0.147E+03
  26      5.970      0.411E+03      0.180E+03
  27      6.209      0.422E+03      0.303E+03
  28      6.447      0.479E+03      0.365E+03
  29      6.685      0.116E+04      0.110E+04
