rho170yb4he
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.037      0.326E+01      0.474E+00
   2      0.157      0.365E+01      0.583E+00
   3      0.277      0.397E+01      0.654E+00
   4      0.397      0.469E+01      0.838E+00
   5      0.517      0.467E+01      0.108E+01
   6      0.637      0.535E+01      0.126E+01
   7      0.757      0.719E+01      0.173E+01
   8      0.877      0.105E+02      0.200E+01
   9      0.997      0.122E+02      0.216E+01
  10      1.117      0.217E+02      0.275E+01
  11      1.237      0.346E+02      0.349E+01
  12      1.357      0.511E+02      0.402E+01
  13      1.477      0.668E+02      0.516E+01
  14      1.597      0.831E+02      0.597E+01
  15      1.717      0.910E+02      0.851E+01
  16      1.837      0.111E+03      0.943E+01
  17      1.957      0.130E+03      0.121E+02
  18      2.077      0.160E+03      0.142E+02
  19      2.197      0.201E+03      0.167E+02
  20      2.317      0.307E+03      0.206E+02
  21      2.437      0.384E+03      0.255E+02
  22      2.557      0.518E+03      0.337E+02
  23      2.677      0.655E+03      0.430E+02
  24      2.797      0.809E+03      0.589E+02
  25      2.917      0.847E+03      0.735E+02
  26      3.037      0.112E+04      0.840E+02
  27      3.157      0.141E+04      0.111E+03
  28      3.277      0.179E+04      0.151E+03
  29      3.397      0.229E+04      0.205E+03
  30      3.517      0.311E+04      0.211E+03
  31      3.637      0.366E+04      0.263E+03
  32      3.757      0.415E+04      0.410E+03
  33      3.877      0.575E+04      0.541E+03
  34      3.997      0.659E+04      0.588E+03
  35      4.117      0.827E+04      0.840E+03
  36      4.237      0.958E+04      0.993E+03
  37      4.357      0.114E+05      0.119E+04
  38      4.477      0.144E+05      0.160E+04
  39      4.597      0.173E+05      0.191E+04
  40      4.717      0.236E+05      0.266E+04
  41      4.837      0.277E+05      0.288E+04
  42      4.957      0.345E+05      0.406E+04
  43      5.077      0.366E+05      0.467E+04
  44      5.197      0.467E+05      0.549E+04
  45      5.317      0.509E+05      0.744E+04
  46      5.437      0.751E+05      0.108E+05
  47      5.557      0.840E+05      0.149E+05
  48      5.677      0.984E+05      0.163E+05
  49      5.797      0.143E+06      0.242E+05
  50      5.917      0.193E+06      0.362E+05
  51      6.037      0.205E+06      0.401E+05
  52      6.157      0.270E+06      0.515E+05
  53      6.277      0.329E+06      0.775E+05
  54      6.397      0.378E+06      0.109E+06
  55      6.517      0.369E+06      0.167E+06
  56      6.637      0.541E+06      0.244E+06
  57      6.757      0.693E+06      0.298E+06
  58      6.877      0.889E+06      0.479E+06
  59      6.997      0.161E+07      0.836E+06
  60      7.117      0.314E+07      0.159E+07
  61      7.237      0.425E+07      0.275E+07
  62      7.357      0.208E+08      0.146E+08
  63      7.477      0.824E+07      0.666E+07
