160dy4rho
  No     Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.027      0.348E+01      0.543E+00
   2      0.147      0.464E+01      0.728E+00
   3      0.267      0.499E+01      0.720E+00
   4      0.387      0.680E+01      0.103E+01
   5      0.507      0.613E+01      0.120E+01
   6      0.627      0.470E+01      0.125E+01
   7      0.747      0.558E+01      0.147E+01
   8      0.867      0.936E+01      0.179E+01
   9      0.987      0.150E+02      0.250E+01
  10      1.107      0.249E+02      0.294E+01
  11      1.227      0.325E+02      0.343E+01
  12      1.347      0.484E+02      0.399E+01
  13      1.467      0.671E+02      0.582E+01
  14      1.587      0.755E+02      0.607E+01
  15      1.707      0.794E+02      0.702E+01
  16      1.827      0.110E+03      0.945E+01
  17      1.947      0.139E+03      0.111E+02
  18      2.067      0.206E+03      0.129E+02
  19      2.187      0.285E+03      0.176E+02
  20      2.307      0.371E+03      0.196E+02
  21      2.427      0.507E+03      0.259E+02
  22      2.547      0.650E+03      0.305E+02
  23      2.667      0.883E+03      0.434E+02
  24      2.787      0.102E+04      0.591E+02
  25      2.907      0.123E+04      0.804E+02
  26      3.027      0.148E+04      0.946E+02
  27      3.147      0.174E+04      0.127E+03
  28      3.267      0.204E+04      0.136E+03
  29      3.387      0.238E+04      0.192E+03
  30      3.507      0.307E+04      0.221E+03
  31      3.627      0.377E+04      0.318E+03
  32      3.747      0.485E+04      0.345E+03
  33      3.867      0.463E+04      0.393E+03
  34      3.987      0.622E+04      0.507E+03
  35      4.107      0.751E+04      0.624E+03
  36      4.227      0.128E+05      0.113E+04
  37      4.347      0.138E+05      0.104E+04
  38      4.467      0.167E+05      0.150E+04
  39      4.587      0.184E+05      0.172E+04
  40      4.707      0.224E+05      0.204E+04
  41      4.827      0.287E+05      0.250E+04
  42      4.947      0.383E+05      0.376E+04
  43      5.067      0.403E+05      0.378E+04
  44      5.187      0.480E+05      0.458E+04
  45      5.307      0.603E+05      0.626E+04
  46      5.427      0.783E+05      0.861E+04
  47      5.547      0.886E+05      0.924E+04
  48      5.667      0.133E+06      0.148E+05
  49      5.787      0.119E+06      0.154E+05
  50      5.907      0.136E+06      0.218E+05
  51      6.027      0.240E+06      0.318E+05
  52      6.147      0.206E+06      0.374E+05
  53      6.267      0.379E+06      0.571E+05
  54      6.387      0.384E+06      0.769E+05
  55      6.507      0.551E+06      0.109E+06
  56      6.627      0.561E+06      0.153E+06
  57      6.747      0.828E+06      0.196E+06
  58      6.867      0.105E+07      0.291E+06
  59      6.987      0.122E+07      0.440E+06
  60      7.107      0.939E+06      0.692E+06
  61      7.227      0.159E+07      0.994E+06
  62      7.347      0.343E+07      0.144E+07
  63      7.467      0.385E+07      0.225E+07
  64      7.587      0.322E+07      0.334E+07
