rho206pb
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.120      0.420E+00      0.182E-01
   2      0.361      0.755E+00      0.255E-01
   3      0.602      0.125E+01      0.450E-01
   4      0.843      0.237E+01      0.596E-01
   5      1.084      0.328E+01      0.896E-01
   6      1.325      0.520E+01      0.127E+00
   7      1.566      0.801E+01      0.196E+00
   8      1.807      0.113E+02      0.402E+00
   9      2.048      0.161E+02      0.664E+00
  10      2.289      0.219E+02      0.822E+00
  11      2.530      0.290E+02      0.148E+01
  12      2.771      0.388E+02      0.228E+01
  13      3.012      0.635E+02      0.440E+01
  14      3.253      0.821E+02      0.620E+01
  15      3.494      0.903E+02      0.798E+01
  16      3.734      0.115E+03      0.145E+02
  17      3.975      0.150E+03      0.212E+02
  18      4.216      0.213E+03      0.335E+02
  19      4.457      0.321E+03      0.592E+02
  20      4.698      0.474E+03      0.104E+03
  21      4.939      0.694E+03      0.162E+03
  22      5.180      0.106E+04      0.303E+03
  23      5.421      0.119E+04      0.409E+03
  24      5.662      0.146E+04      0.769E+03
  25      5.903      0.110E+04      0.935E+03
